CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Manufacturing,West,Lease,39389.17,0.6403,12.86,-18.84,1.03,3.61,6.3,1,62.8,0.1155
Medium,Manufacturing,North,Loan,34835.8,0.6699,4.39,11.44,1.73,4.22,2.6,0.76,54.4,0.104
Medium,Energy,East,Loan,44394.41,0.6464,-15.17,37.36,1.56,4.97,5.9,0.77,55.1,0.0231
Low,Transportation,North,Lease,41739.61,0.7314,-57.2,32,1.75,0.76,4.6,0.71,77.8,0.0604
Low,Construction,North,Loan,57108.17,0.6924,-12.14,-23.56,1.68,3.12,5.2,0.62,61.5,0.0222
High,Mining,South,Loan,66444.57,0.5674,-27.21,26.19,1.7,1.59,1.6,0.78,37,0.0542
High,Mining,East,Lease,59931.3,0.5817,-18.47,38.72,0.53,1.94,6.8,0.56,74.3,0.0878
Medium,Transportation,East,Loan,64587.47,0.6278,-26.44,45.93,2.41,4.2,8.1,0.58,60.6,0.0673
Low,Construction,West,Loan,63322.52,0.6389,23.19,47.06,2.21,1.81,8,0.65,90.4,0.0374
Medium,Mining,East,Lease,36099.56,0.6862,23.05,-33.01,1.49,3,5.1,0.75,58.7,0.1168
Medium,Mining,North,Lease,44989.01,0.6415,15.16,7.19,0.91,2.33,0.9,0.58,43.8,0.1259
Medium,Energy,East,Loan,76691.13,0.5657,-6.68,-20.71,1.78,4.5,4.3,0.77,66.1,0.1368
Low,Manufacturing,East,Lease,41830.42,0.7151,-13.32,-39.19,0.77,0.25,5.5,0.74,53.9,0.1821
Low,Mining,North,Loan,77808.22,0.606,-29.89,14.36,2.34,4.86,5.3,0.71,55.2,0.1203
Medium,Construction,South,Lease,43741.89,0.654,18.29,6.03,1.42,5.23,1.9,0.53,65.3,0.0493
Medium,Transportation,West,Loan,19286.68,0.7141,17.37,5.13,1.2,3.89,6.4,0.79,67.6,0.069
Low,Energy,West,Lease,46290.79,0.6982,9.86,-14.25,1.79,3.34,6.5,0.68,65.3,0.1176
Low,Construction,South,Lease,62698.54,0.6249,-22.17,73.47,1.27,0.1,6.5,0.69,66.6,0.1189
Medium,Energy,North,Loan,74951.78,0.55,-6.74,45.27,1.36,3.96,3.6,0.65,79,0.0552
High,Manufacturing,West,Lease,27831.37,0.6787,-2.39,-12.56,1.1,4.51,2.1,0.54,66.9,0.1433
High,Mining,South,Lease,62424,0.6156,-35.34,-0.71,1.81,3.15,4,0.6,73.6,0.0414
Medium,Construction,South,Loan,63397.22,0.596,28.58,14.86,1.65,2.02,7.4,0.8,82.2,0.0233
Medium,Transportation,South,Lease,69521.04,0.5617,-27.03,30.82,2.03,5.19,3.1,0.86,61,0.1285
Low,Manufacturing,West,Lease,10000,0.7805,-15.59,14.47,0.69,1.7,3.3,0.76,70,0.0654
Medium,Manufacturing,West,Lease,74852.44,0.5568,-35.44,3.44,0.89,4.69,2.9,0.78,71.3,0.0725
Medium,Energy,West,Loan,56613.53,0.6253,-4.07,-42.52,1.24,3.79,4.2,0.87,49,0.0688
Medium,Manufacturing,West,Lease,56879.71,0.5966,-4.97,58.89,2.06,2.74,5.8,0.86,37.6,0.1068
Medium,Construction,East,Loan,65584.98,0.5658,19.6,-18.93,0.79,6.66,6.4,0.76,70.7,0.0812
Low,Energy,South,Loan,19927.33,0.7479,-18.95,31.84,1.08,3.72,2.5,0.64,54.2,0.0985
Low,Manufacturing,East,Lease,65224.98,0.6711,-21.71,0.94,2.21,3.88,7,0.5,94.2,0.139
Medium,Transportation,South,Loan,85623.76,0.5286,1.6,37.5,1.76,3.77,7.3,0.71,80.6,0.0743
Low,Construction,West,Loan,29470.25,0.7813,-41.51,-39.03,2.04,3.45,4.4,0.72,54.6,0.1228
Low,Transportation,West,Loan,49034.09,0.6349,26.63,-19.06,1.45,2.86,2.2,0.96,43,0.1756
High,Transportation,East,Loan,50561.91,0.6474,-26.43,-4.21,2.38,4.14,7.5,0.77,51.3,0.0434
Medium,Energy,North,Lease,55346.79,0.6037,36.34,-27.5,0.77,3.15,5.8,0.72,71.5,0.1647
Medium,Mining,West,Lease,56390.59,0.6777,-15.84,-16.1,1.39,0.27,8.8,0.61,65.5,0.0523
High,Energy,North,Lease,39927.62,0.64,-28.54,38.73,1.35,1.76,2.1,0.71,80.6,0.0612
High,Construction,South,Loan,50599.26,0.5857,11.66,16.58,1.36,4.73,5.6,0.83,54,0.0231
Medium,Construction,East,Loan,76160.47,0.5336,10.51,43.43,0.87,4.33,7.9,0.68,77.1,0.0713
High,Energy,North,Lease,56092.29,0.618,11,1.96,1.78,1.44,5.9,0.57,74.9,0.1174
Medium,Mining,North,Loan,55523.74,0.6165,2.01,-4.76,0.89,2.19,0.6,0.61,88.9,0.1346
Medium,Energy,West,Lease,39281.78,0.6652,44.79,-39.23,0.83,2.08,0.8,0.56,72.8,0.1466
Medium,Construction,North,Loan,70087.11,0.5734,-26.99,31.43,0.2,5.18,8.6,0.63,56.9,-0.0053
Medium,Mining,North,Lease,46746.17,0.6652,27.23,-4.84,1.13,0.69,3.8,0.59,89.8,0.0151
Medium,Construction,South,Lease,19247.95,0.7532,-32.18,5.84,1.57,2.08,6,0.75,65.9,0.1135
Medium,Mining,East,Lease,56303.02,0.6056,33.04,-16.78,1.64,3.12,2.4,0.77,63.8,0.1253
Low,Mining,West,Loan,60604,0.5838,7.05,85.38,1.39,0.83,3.9,0.85,71.8,0.1489
Medium,Energy,West,Lease,45517.93,0.6381,31.19,3.69,1.17,3.12,6.9,0.69,88.1,0.1161
Low,Energy,North,Loan,16517.71,0.79,17.84,-21.45,1.3,1.43,5.6,0.69,85.9,0.0387
Medium,Energy,South,Loan,33256.95,0.734,-43.49,-34.78,1.16,1.74,4.1,0.73,78.6,0.0516
Medium,Mining,North,Lease,48273.16,0.68,-6.76,15.85,2.53,2.22,6.6,0.64,83.3,0.1051
Medium,Mining,North,Lease,44143.63,0.6948,-25.06,-22.6,0.89,2.73,4.9,0.59,76.2,0.0266
Medium,Construction,West,Loan,56625.07,0.6338,29.88,-13.54,1.11,2.15,7,0.61,56.1,0.0508
High,Transportation,North,Loan,58875.15,0.5957,16.01,-45.84,1.5,3.14,4.1,0.76,84.2,0.0943
Medium,Energy,North,Lease,43462.67,0.6372,3.03,2.01,0.95,4.87,5.6,0.79,33,0.0868
Medium,Construction,South,Lease,29015.27,0.6925,-8.25,1.69,1.52,4.3,9,0.94,69.6,0.0985
Medium,Construction,West,Loan,71798.15,0.5305,8.47,55.74,0.68,5.27,5.3,0.6,70.7,0.1141
Low,Manufacturing,East,Lease,58408.68,0.6911,-19.16,-16.08,1.56,2.89,6.4,0.59,100,0.0277
Low,Energy,South,Lease,60070.99,0.6824,5.63,-65.91,1.28,2.89,1.5,0.51,55.4,0.1027
Low,Construction,South,Lease,55762.18,0.6598,-2.47,-6.67,1.13,3.31,5.3,0.72,85,0.0347
Medium,Manufacturing,South,Lease,66461.28,0.59,-16.34,39.09,1.35,0.7,5.4,0.75,73.2,0.0944
Medium,Energy,West,Loan,44283.56,0.6314,13.91,18.31,1.23,4.55,2.6,0.64,64.9,0.1298
High,Mining,North,Loan,62424.9,0.555,37.72,32.59,1.3,2.44,4.5,0.55,41.9,0.119
Low,Manufacturing,East,Lease,60027.52,0.6451,-28.57,13.56,1.88,2.93,4.4,0.9,73.2,0.0495
Low,Mining,West,Lease,59531.28,0.6558,18.89,-13.16,2.4,3.64,2.8,0.74,73.4,0.0441
High,Transportation,North,Loan,32080.61,0.6761,-16.15,-33.73,0.15,1.84,4,0.58,66.2,0.1727
Low,Transportation,South,Loan,52086.85,0.692,11.68,-29.48,1.38,1.89,9.2,0.66,94.7,0.1363
Medium,Transportation,West,Loan,55805.82,0.606,-12.34,-18.06,0.86,3.59,5,0.93,87.1,0.0896
Medium,Transportation,North,Loan,76684.8,0.5391,-5.99,19.02,1.33,3.65,5.6,0.79,67.4,0.1583
Medium,Construction,East,Loan,51497.74,0.6448,-4.02,-2.41,1.7,6.43,8.8,0.67,86.6,0.0923
Low,Transportation,East,Lease,66229.52,0.6482,27.23,-53.98,2.69,3.37,0,0.6,89.6,0.2141
Low,Construction,North,Lease,27702.97,0.7305,-1.84,9.6,1.34,3.8,9.3,0.84,60.2,0.087
Low,Construction,West,Loan,39252.22,0.6832,-6.78,36.68,1.56,6.49,6.5,0.56,54.6,0.2233
Medium,Energy,South,Loan,56586.47,0.6275,-1.66,-47.34,1.04,3.52,2.5,0.75,51.8,0.1084
Medium,Construction,North,Lease,56455.84,0.5814,37.92,16.49,1.02,3.65,2.5,0.75,85.2,0.0392
Low,Construction,South,Loan,39249.18,0.7317,11.2,-63.33,0.99,0.1,6.6,0.81,64.9,0.1017
Medium,Transportation,East,Loan,64336.28,0.613,-12.21,-26.27,1.14,2.42,6.6,0.76,59.2,0.1351
High,Construction,North,Lease,47487.2,0.6172,29.96,-38.51,1.26,3.31,5.9,0.76,84.4,0.1008
Low,Mining,East,Lease,47137.92,0.6874,3.61,20.54,2.21,1.86,3.1,0.73,65.3,0.0708
Medium,Transportation,South,Lease,48823.68,0.6253,-17.26,49.94,1.33,3.32,5.5,0.73,54.4,0.1132
Medium,Manufacturing,South,Lease,70079.39,0.5406,7.87,31.86,1.78,4.08,3.7,0.89,92.5,0.1314
Low,Transportation,North,Loan,66334.3,0.6108,-3,30.85,1.65,4.39,4.5,0.7,85.9,0.065
Medium,Construction,North,Lease,78247.07,0.6064,-67.64,-27.94,1.98,2.84,3,0.79,60.4,0.097
Medium,Mining,North,Loan,58257.15,0.6078,6.61,17.49,0.55,0.66,3.6,0.66,58.6,0.05
High,Transportation,East,Loan,78963.63,0.5372,-21.51,7.19,1.67,3.13,0.8,0.6,67.4,0.1181
High,Mining,South,Loan,53571.62,0.658,-25.45,-35.26,1.61,2.37,8,0.65,79.9,0.0532
Medium,Manufacturing,South,Loan,48103.56,0.6566,-38.86,32.28,1.45,1.85,3.3,0.68,87.1,0.1117
Medium,Manufacturing,East,Lease,43427.98,0.6829,2.56,13.01,2.04,2.58,7.7,0.6,53.8,0.1569
Medium,Energy,North,Loan,47356.91,0.6699,-2.95,-6.56,1.44,2.48,4.1,0.55,45.6,0.1337
Medium,Energy,West,Loan,48092.37,0.6268,18.98,24.64,1.94,2.67,3.8,0.82,66.9,0.0875
Medium,Transportation,North,Loan,39714.98,0.6903,-15.95,4.44,1.59,2.31,0.8,0.64,53.8,0.0345
Low,Energy,West,Lease,41140.4,0.6935,-9.63,36.04,1.62,5.16,8.8,0.67,65.9,0.101
Medium,Mining,West,Lease,59113.2,0.5848,39.59,56.64,1.66,3.4,7.1,0.64,61,0.0815
Medium,Energy,East,Lease,42678.38,0.7068,-39.5,-8.37,1.4,3.41,3.1,0.47,45.6,0.1013
Medium,Mining,South,Lease,24494.26,0.7145,24.32,-8.71,2.28,3.62,6.8,0.86,95.5,0.1055
High,Energy,South,Lease,23731.3,0.7477,-15.6,-14.72,2.04,0.94,7.1,0.61,71.9,0.0799
Low,Energy,South,Loan,18539.4,0.7249,62.29,0.52,1.47,4.52,5.4,0.8,83.1,0.0657
Medium,Energy,South,Lease,28737.59,0.6691,14.44,40.53,1.59,7.88,5.3,0.6,37.1,0.1212
Low,Construction,East,Loan,32000.98,0.7545,-12.56,-31.83,1.74,1.56,5,0.72,58.9,0.1768
Medium,Construction,West,Lease,35389.66,0.7234,-27.88,-41.11,1.91,1.99,3.4,0.8,59.8,0.1094
Medium,Energy,South,Loan,54290.49,0.6557,8.18,7.08,2.31,2.18,4.2,0.58,85,0.0965
Medium,Mining,West,Lease,30920.04,0.7234,-38.2,-1.12,1.95,3.45,3.1,0.66,95.6,0.1515
Medium,Transportation,East,Loan,36208.64,0.69,13.77,5.79,1.41,2.8,7.1,0.64,52.2,0.0872
Medium,Manufacturing,North,Lease,22522.71,0.7738,-27.87,-58.69,1.09,2.23,8.3,0.65,72.4,0.1646
Medium,Construction,East,Loan,40093.96,0.6576,-19.4,46.24,2,3.88,5.7,0.78,89.3,0.1399
Medium,Energy,South,Loan,60858.33,0.6358,-56.05,6.16,1.64,3.58,4,0.84,59.8,-0.0365
Medium,Manufacturing,North,Loan,49649.42,0.5897,2.6,73.41,1.01,4.83,4.1,0.66,58.4,0.1202
High,Construction,East,Loan,51229.82,0.6128,5.59,12.41,1.93,3.22,5.7,0.73,77.8,0.0696
Low,Transportation,East,Loan,49970.69,0.7098,0.57,-12.04,2.26,2.94,6.1,0.57,46,0.1395
Low,Mining,West,Loan,30727.71,0.7354,-34.45,7.65,1.5,2.35,5.3,0.95,39.4,0.0192
Medium,Energy,East,Lease,43868.66,0.6345,28.69,44.39,2.28,3.35,3.6,0.75,23.4,0.0966
High,Transportation,North,Lease,53314.63,0.6322,-3.24,-21.61,1.88,1.44,7.3,0.78,80.3,0.0916
Medium,Construction,East,Loan,64543.35,0.5862,-10.44,17.53,0.92,4.63,5.3,0.65,90.5,0.0804
Low,Energy,South,Loan,55454.07,0.6312,16.06,13.13,1.71,3.94,5.9,0.81,70.1,0.1504
Medium,Manufacturing,West,Loan,63209.14,0.5563,-8.81,17.82,0.61,3.34,0.8,0.71,85.2,0.2406
Medium,Mining,North,Loan,33706.45,0.6994,8.82,-27.27,1.68,2.4,4.6,0.8,37.8,0.1125
Low,Construction,North,Loan,27449.9,0.7254,-15.61,19.13,0.99,5.46,6.4,0.61,79,0.1662
Medium,Mining,East,Loan,23713.69,0.6997,16.32,16.87,1.6,2.18,2.5,0.72,72.2,0.167
High,Energy,South,Loan,62256,0.5608,15.81,47,1.84,1.72,1.5,0.5,57,0.2212
Medium,Transportation,West,Lease,28404.53,0.6807,-9.06,53.19,1.21,2.54,7.3,0.76,75.5,0.1388
Medium,Mining,North,Loan,65925.58,0.5923,3.05,11.19,2.35,4.24,5.3,0.76,96.9,0.1413
Medium,Manufacturing,West,Loan,43310.22,0.6628,-0.5,6.87,1.04,5.15,5.4,0.52,83.7,0.0942
Low,Construction,East,Lease,75031.39,0.6056,-2.5,-28.82,0.43,4.59,5.8,0.59,60.9,0.0524
High,Manufacturing,South,Lease,43270.72,0.6646,-23.76,-5.9,1.49,1.04,5.5,0.62,61,0.1569
Medium,Mining,East,Loan,44093.05,0.6804,-20.95,-13.67,2.18,2.91,0,0.75,76.3,0.0729
Medium,Transportation,West,Lease,51004.55,0.6716,-7.71,29.27,1.49,2.28,4.2,0.42,78.9,0
Medium,Transportation,East,Lease,43780.73,0.6229,1.38,9.22,1.2,3.6,4.7,0.89,58.1,0.1763
Medium,Manufacturing,West,Lease,56271.01,0.6452,-17.67,-29.46,0.68,2.56,5.3,0.63,96.8,0.0911
Medium,Energy,North,Loan,34329.2,0.6626,0.29,-25.25,1.21,4.16,5.1,1,69.1,0.1175
Low,Energy,North,Loan,52795.02,0.6472,-45.79,76.56,0.93,2.32,4.1,0.7,87.1,0.0451
High,Transportation,East,Lease,38737.32,0.6888,0.06,-12.86,1.62,1.73,6.8,0.46,64.9,0.1433
High,Manufacturing,North,Loan,46916.86,0.623,1.54,20.31,1.66,4.96,4.4,0.54,100,0.0869
Medium,Manufacturing,West,Loan,29372.5,0.6899,16.37,0.67,1.03,2.95,5.4,0.7,75.5,0.109
High,Manufacturing,North,Loan,63084.44,0.5756,28.45,-7.48,1.34,4.33,8.2,0.56,42.4,0.1311
Low,Mining,South,Lease,44662.46,0.6941,13.69,35.17,2.22,1.27,2.1,0.6,57.1,0.0973
Medium,Energy,South,Lease,63741.13,0.6134,35.95,-13.64,1.29,1.57,0.5,0.45,77,0.0645
Medium,Energy,East,Lease,38945.61,0.6948,-0.59,-9.06,1.27,1.1,5.7,0.65,92.9,0.1007
Medium,Mining,East,Lease,49864.09,0.623,0.93,41.25,1.59,1.84,6.2,0.85,72.5,0.0816
Medium,Construction,East,Loan,63889.09,0.625,16.13,-11.54,0.8,1.98,9.4,0.63,51.7,-0.0341
Medium,Mining,East,Loan,32367.7,0.731,-2.14,-42.18,1.97,1.85,5.1,0.75,68.7,0.1023
Low,Manufacturing,West,Loan,36765.1,0.7376,-6.62,-33.84,1.29,2.94,4.6,0.59,75.7,0.1439
Medium,Mining,West,Lease,62158.55,0.5801,27.48,15.43,0.92,1.5,3.9,0.8,82.2,0.0093
Low,Manufacturing,South,Lease,70211.5,0.6366,14.47,-21.04,1.77,1.86,7.2,0.65,91.5,0.1325
Medium,Transportation,West,Loan,50243.16,0.6117,13.19,33.9,1.26,3.33,6,0.73,88.8,0.1326
Low,Manufacturing,North,Lease,35456.46,0.7106,-17.29,0.63,1.06,5.94,6.6,0.62,69.3,0.1605
Low,Energy,South,Lease,45231.04,0.6706,18.87,22.87,1.54,3.72,5.6,0.67,45.4,0.1146
Medium,Mining,East,Loan,79545.27,0.5774,1.65,10.61,2.03,3.58,6.7,0.57,84.2,0.0887
Medium,Manufacturing,East,Lease,29996.67,0.6891,-19.79,31.79,1.29,2.6,7.8,0.86,62.6,0.1003
High,Construction,West,Lease,57919.79,0.5646,13.94,56.51,1.02,0.1,6.2,0.7,94.2,0.0933
Medium,Transportation,South,Loan,51882.82,0.6339,-23.98,16.94,0.38,2.7,3.9,0.62,79.9,0.0416
Medium,Construction,West,Lease,32654.24,0.7074,-48.15,15.48,0.77,1.47,3.1,0.67,66.8,0.0813
High,Construction,West,Loan,45293.29,0.6126,-36.1,33.36,1.26,4.53,5.3,0.74,100,0.1246
Medium,Construction,West,Loan,22931.54,0.7145,-4.97,-16.92,0.85,5.36,8,0.77,76.9,0.0957
Low,Transportation,South,Lease,54323.31,0.6482,30.82,16.25,1.15,1.64,5.4,0.64,88.4,0.0773
Medium,Transportation,East,Loan,56495.29,0.6413,6.26,-27.66,2.46,2.97,1.7,0.77,58.9,0.1043
High,Transportation,North,Lease,29507.49,0.7255,-2.05,-22.77,2.12,0.96,8.6,0.7,55.4,0.0633
Medium,Transportation,East,Lease,58349.45,0.611,26.38,-14.27,1.09,4.24,5.9,0.62,37.3,0.1082
Low,Construction,South,Lease,40022.99,0.6749,10.21,38.06,1.57,4.87,4.8,0.66,83.7,0.122
Low,Energy,East,Lease,38664.45,0.6917,20.48,-4.21,0.96,3.85,4.7,0.64,65.4,0.1075
Low,Energy,East,Lease,35369.78,0.7094,19.45,-23.42,2.28,3.48,0.4,0.89,100,0.0493
Medium,Transportation,North,Lease,59924.39,0.5994,-6.27,22.78,1.54,2.93,3.3,0.71,74.5,0.1428
Medium,Mining,East,Lease,24892.39,0.7475,-4.63,-49.42,2.03,3.74,3.3,0.77,74.7,0.0604
Low,Manufacturing,East,Lease,26159.76,0.7688,-16.67,-56.13,1.11,2.59,6.2,0.82,90.7,0.1016
High,Mining,East,Lease,41117.6,0.6483,16.62,-7.59,2.3,2.44,4.6,0.71,67,0.1681
Medium,Mining,West,Loan,41636.27,0.6783,-24.55,-8.05,1.28,4.88,7.2,0.79,62.7,0.0151
Medium,Mining,South,Loan,59399.21,0.5811,-17.72,31.3,0.62,4.17,0.7,0.7,52.2,0.058
High,Energy,South,Lease,48632.91,0.6174,-1.4,36.01,1.41,2.14,9.5,0.69,70.9,0.1031
Low,Manufacturing,North,Lease,48658.6,0.6718,2.2,-3.04,1.16,5.71,7.5,0.67,75.8,0.0758
Medium,Mining,West,Lease,25702.82,0.7458,11.73,-6.24,2,1.96,5.9,0.65,62.2,0.0256
Medium,Transportation,West,Loan,46544.51,0.6402,-0.83,-23.29,1.19,5.9,4.3,0.75,91.2,0.1023
High,Energy,East,Loan,13882.05,0.771,-7.27,-3.3,1.77,1.05,6.6,0.59,40.7,-0.01
Medium,Transportation,South,Lease,53561.87,0.6617,14.46,-76.71,1.16,2.78,5.2,0.58,81.8,0.2089
Low,Transportation,North,Lease,60159.38,0.6174,18.29,-13.54,1.08,3.68,4.6,0.79,54.2,0.1441
High,Mining,West,Lease,38307.05,0.663,-34,-2.42,1.5,3.52,6.5,0.82,82.2,0.0566
Low,Transportation,East,Loan,55630.07,0.6532,21.39,-23.55,1.77,3.27,6.7,0.87,72.1,0.0846
High,Manufacturing,North,Lease,43414.31,0.6374,-6.54,-19.31,0.72,4.91,5.7,0.66,72.2,0.0203
High,Transportation,West,Loan,68481.73,0.563,31.96,-8.97,1.96,3.66,4,0.53,78.5,0.168
Low,Mining,North,Loan,53420.21,0.6953,-13,-0.19,1.97,3.77,4.8,0.51,81.9,0.1073
Medium,Transportation,West,Lease,34420.4,0.6782,-19.89,25.88,1.35,2.09,2.3,0.83,65.7,0.0318
Low,Energy,North,Loan,67564.59,0.5885,12.96,12.79,1.4,4.23,2.2,0.79,75.5,0.0815
Medium,Energy,West,Lease,62405.26,0.5398,42.62,26.43,0.18,2.34,3.8,0.75,80.8,0.1358
Medium,Energy,West,Loan,43817.85,0.677,-32.46,17.18,2.4,4.71,6.9,0.76,93.5,0.128
Medium,Construction,North,Loan,57432.69,0.5904,16.77,3.44,1.34,5.16,5.2,0.77,77.8,0.1284
High,Energy,West,Lease,57192.91,0.551,11.21,66.95,2.04,3.12,6.9,0.89,64.4,0.1064
Medium,Energy,West,Lease,43615.92,0.6946,-0.65,-21.48,1.2,3.79,7.6,0.59,98.2,-0.0141
Medium,Construction,West,Loan,50984.71,0.6319,41.47,-27.39,1.5,3.43,5.7,0.61,89.6,0.2225
High,Energy,North,Loan,53667.84,0.6237,-38.27,-4.58,1.76,2.89,2.9,0.75,85,0.0827
High,Mining,North,Loan,39865.49,0.6279,22.25,-1.81,1.27,2.67,6.6,0.78,74.3,0.1173
Low,Energy,West,Lease,70198.17,0.5947,19.46,4.14,0.72,1.3,2.7,0.58,69.3,0.1831
High,Energy,West,Lease,20341.8,0.6995,23.95,-28.63,1.44,2.01,3.9,0.78,46.9,0.1116
Low,Construction,North,Lease,60154.12,0.5942,21.41,58.72,0.79,3.14,7.7,0.66,88.1,0.1735
High,Mining,East,Lease,31724.53,0.6443,4.71,-10.36,1.07,5.15,5,0.75,23.9,0.1578
Low,Transportation,West,Loan,46347.02,0.7029,-6.1,-28.91,1.18,3.51,5.9,0.57,73.2,0.1795
Low,Manufacturing,East,Loan,26026.92,0.7485,-12.21,7.93,1.54,4.71,0.9,0.51,65.7,0.1308
Medium,Mining,North,Loan,30214.63,0.6839,11.75,32.87,1.18,0.39,4.4,0.76,78,0.0843
Medium,Transportation,West,Loan,48693.78,0.5874,-0.12,48.33,0.89,5.04,5.6,0.9,66.2,0.0757
Medium,Mining,East,Loan,51091.09,0.6688,-4.22,-71.95,1.59,3.99,5.2,0.7,72.3,0.1908
Low,Transportation,North,Lease,65897,0.6079,-11.07,23.02,1.83,4.56,6.6,0.88,62.2,0.0912
Medium,Transportation,East,Lease,44013.87,0.6482,-8.15,52.71,0.81,0.1,3.7,0.56,72,0.1482
High,Mining,South,Loan,59246.08,0.6105,15.54,-17.86,1.51,2.41,7.3,0.61,58.4,0.0699
Medium,Construction,North,Loan,49846.08,0.6599,0.37,-6.95,1.88,1.43,4.1,0.75,69.4,0.0808
Low,Mining,South,Loan,58668.92,0.642,24.18,-28.46,1.55,4.07,5,0.75,57.6,0.1088
Medium,Mining,North,Loan,33620.88,0.703,-27.06,-16.78,0.89,3.76,3,0.65,96.6,0.0783
Low,Transportation,North,Loan,51332.12,0.6778,12.41,-31.96,1.62,4.4,6.1,0.76,46.3,0.0687
High,Manufacturing,West,Loan,55598.29,0.6015,-20.16,28.04,1.5,2.43,3.5,0.65,55.9,0.0853
High,Transportation,South,Loan,42550.55,0.6199,24.18,-3.19,1.58,4.23,5.5,0.71,64.4,0.1371
Medium,Energy,South,Loan,55714.05,0.6652,24.72,-90.11,1.52,3,6.6,0.73,62.7,0.0752
Medium,Mining,South,Lease,57139.27,0.6045,-28.21,-18.09,0.49,4.76,6.8,0.89,82.5,0.1016
Medium,Mining,North,Loan,42232.55,0.6939,-15.31,-20.72,1.41,4.03,10.2,0.61,70,0.1852
Medium,Construction,South,Loan,61631.41,0.6121,-14.46,25.66,1.98,1.91,5,0.76,58.6,0.1275
High,Transportation,South,Lease,15456.02,0.7038,25.25,-2.03,2.22,3.43,4.4,0.78,64.5,0.1664
Medium,Construction,West,Lease,21269.48,0.7324,-11.88,-2.83,2,0.92,3.7,0.93,79.5,0.114
Medium,Mining,East,Loan,34486.71,0.6565,13.8,19.29,1.51,4.79,6.2,0.85,37,0.0942
Medium,Transportation,East,Lease,54220.25,0.6113,-13.22,31.73,1.85,4,4.7,0.77,53.3,0.1766
Medium,Transportation,South,Lease,38675.44,0.6874,21.51,8.03,1.77,4.06,3.3,0.51,64.9,0.0335
High,Energy,South,Loan,29933.76,0.6516,23.49,-19.62,1.38,4.38,3.2,0.75,73.3,0.1432
Medium,Energy,South,Lease,48671.31,0.6545,33.4,-45.15,2.07,3.33,7.5,0.81,69.4,0.1648
Medium,Manufacturing,South,Loan,51505.56,0.6488,-3.43,43.5,1.18,0.81,6.8,0.59,73.5,0.0248
Low,Energy,East,Loan,40451.49,0.6641,0.06,101.67,1.45,4.45,7.6,0.61,68,0.068
Medium,Transportation,West,Loan,32232.89,0.6867,-2.78,3.72,1.95,1.9,2.1,0.88,80.8,0.1124
Medium,Energy,North,Lease,50106.48,0.6212,0.53,9.49,1.04,1.77,4.3,0.82,65.6,0.1238
Low,Manufacturing,South,Lease,61924.08,0.6084,-8.51,45.13,0.83,4.13,3.2,0.55,58.8,0.1554
Low,Mining,South,Loan,31786.28,0.7464,21.14,-51.38,1.01,2.21,5.3,0.7,51.5,0.0442
Medium,Energy,East,Loan,73714.4,0.5712,-15.21,28.62,1.72,3.25,3.4,0.7,65.3,0.0648
Medium,Transportation,South,Lease,41500.62,0.6675,-2.89,11.27,2.62,4.09,7.8,0.86,67.9,0.1799
Medium,Mining,West,Loan,40449.59,0.6686,3.85,-23.07,2.1,4.04,4.3,0.87,64.8,0.142
Low,Transportation,West,Lease,52014.24,0.6762,9.81,-15.6,1.89,4.65,8.7,0.73,45.2,0.1306
Medium,Mining,South,Lease,51549.38,0.7071,-23.82,-39.46,2.28,2.17,6.7,0.6,74,0.1002
Low,Transportation,East,Lease,16490.8,0.7764,-4.92,33.75,1.64,2.54,6.8,0.66,69.6,0.0976
Medium,Energy,South,Lease,48377.48,0.6797,0.44,-31.19,1.19,3.53,8.5,0.52,78.8,0.1444
Low,Energy,South,Lease,58669.98,0.6568,16.05,12.36,1.47,1.07,5.1,0.54,66.4,0.1415
Low,Manufacturing,East,Lease,65418.86,0.6367,-4.27,-48.79,1.37,1.8,6.7,0.97,54.7,0.1052
Low,Mining,West,Loan,48263.56,0.6695,-2.04,41.83,1.02,1.67,5.6,0.67,68.3,0.0363
Medium,Manufacturing,North,Loan,44658.64,0.6814,2.75,-6.15,1.4,0.1,3.4,0.67,98,0.0333
Low,Construction,South,Lease,60870.22,0.5997,20.98,32.17,0.72,2.19,3.7,0.69,59.2,0.1409
Medium,Energy,West,Lease,76876.55,0.5818,-41.03,-6.36,1.34,3.02,4.6,0.71,65.4,0.1203
Medium,Mining,South,Loan,51403.11,0.6475,2.12,-18.21,1.45,3.24,5.9,0.74,56.3,0.0859
Medium,Manufacturing,North,Loan,47263.86,0.685,23.39,-40.22,1.41,2.31,6.5,0.61,68.6,0.0259
Medium,Manufacturing,East,Loan,68852.95,0.5865,-16.54,31.61,2.34,1.71,6.1,0.85,56.9,0.1668
High,Construction,West,Loan,33053.16,0.6954,-15.06,-10.91,1.6,2.82,6.2,0.63,65.6,0.0693
Low,Manufacturing,North,Loan,50939.73,0.6953,24.48,8.91,2.38,2.24,4.4,0.53,86.6,0.0812
Medium,Transportation,South,Loan,86114.78,0.5559,-6.98,-21.24,0.81,0.1,0.6,0.56,80.7,0.0923
